Country,Departments,Subject Name Automation hub,Purpose,Benefit per company (€/per year),Benefit per company (hours saved/year),Oneshot Benefit,Automation Hub Documentation,PHASE,Status,Is it a local process or could it be deployed to all subs ?,Date submitted,Link Automation Hub,Submitter,Collaborator
GERMANY,"Customer Experience,Marketing",GER - LOG - MD04 Article texts,,"€1,500.00",48 Hours Per Year,€0.00,document,Assessment,In Progress,Local,06/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---log---md04-article-texts,Reiner FRITSCH,Reiner FRITSCH
WISE,Finance,WISE - FIN - Purchasing card,,"€150,000.00",4800 Hours Per Year,€0.00,document,Assessment,Not Started,Group,06/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/purchasing-card,Guelahourou Joel SOSSIE,Guelahourou Joel SOSSIE
SWEDEN,Customer Unique Specialist,SWE - SC - Automation of Logistics and KPI Reports (BO),,,,,document,Idea,Awaiting Review,Local,06/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sc---automation-of-logistics-and-kpi-reports--bo-,SVÄRD Peter,SVÄRD Peter
SWEDEN,Customer Unique Specialist,SWE - SA - Coor delivery precision,,,,,document,Idea,Awaiting Review,Local,06/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sa---coor-delivery-precision,SVÄRD Peter,SVÄRD Peter
GERMANY,"Customer Experience,Sales",GER- SAL-CMC_Upload_Contract Tool,,"€9,375.00",300 Hours Per Year,€0.00,"CMCUpload-Contract tool_Doku_Ger.docx,CMCUpload-Contract_Tool_Eng.docx",Assessment,In Progress,"Local, and maybe Group",06/13/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger--sal-cmc-upload-contract-tool,Abdelaziz TEKAYA,Abdelaziz TEKAYA
SWITZERLAND,IT,CH - BS - WAPL - Restructuring Maintenance Dates Maintenance Contract Nespresso Business - OneShot,,€0.00,0 Hours Per Year,"€2,500.00",,Live,Archived,,05/22/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ch---bs---wapl---restructuring-maintenance-dates-maintenance-contract-nespresso-business---oneshot,Bernd Kretzschmar,Bernd Kretzschmar
SWITZERLAND,IT,CH - LOG - Paletti - Extract Delivery Information from SAP,,"€30,000.00",960 Hours Per Year,€0.00,,Live,In Production,,05/22/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ch---log---paletti---extract-delivery-information-from-sap,Bernd Kretzschmar,Bernd Kretzschmar
SWITZERLAND,IT,CH - BS - WAPL - Generation of Service Orders ,,"€15,000.00",480 Hours Per Year,€0.00,,Live,In Production,,05/22/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ch---bs---wapl---generation-of-service-orders-,Bernd Kretzschmar,Bernd Kretzschmar
DENMARK,Marketing,DEN-MKT-VISTEX REDO,,"€8,437.50",270 Hours Per Year,€0.00,document,Assessment,Not Started,Local,05/22/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-mkt-vistex-redo,Tina Skroeder OLSEN,Tina Skroeder OLSEN
BENELUX,IT,BNL - CX DE - GetSiteControl Personalized Popups,,"€60,000.00",1920 Hours Per Year,€0.00,document,Live,In Production,Local,05/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---cx-de---getsitecontrol-personalized-popups,Wouter Herrrygers,Wouter Herrrygers
BENELUX,IT,BNL - SAL/LOG/MKT - Send SPE to Order Requests & Process Feedback,,"€33,750.00",1080 Hours Per Year,€0.00,document,Live,In Production,Local,05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnlsallogmktsendspetoorderrequestsprocessfeedback,Wouter Herrrygers,Wouter Herrrygers
CASH,IS,CASH - SAL - Automation of Static Catalogs,,€0.00,0 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---sal---automation-of-static-catalogs,Eduard SEKERES,Eduard SEKERES
CASH,IS,CASH - CS - Strabag POD sending,,€0.00,0 Hours Per Year,€0.00,document,Development,In Progress,Local,05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---cs---strabag-pod-sending,Eduard SEKERES,Eduard SEKERES
CASH,IS,CASH - SAL - Price change/delist report for Sales,,€0.00,0 Hours Per Year,€0.00,document,Development,In Progress,"Local, and maybe Group",05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---sal---price-changedelist-report-for-sales,Eduard SEKERES,Eduard SEKERES
CASH,IS,CASH - CS- BackOrder Analysis: Streamlining BO Cleaning Process ,,€0.00,0 Hours Per Year,€0.00,document,Testing,In Progress,Local,05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---cs--backorder-analysis-streamlining-bo-cleaning-process-,Eduard SEKERES,Eduard SEKERES
GERMANY,"Customer Experience,Marketing",GER - MKT - Big_Deal,,€750.00,24 Hours Per Year,€0.00,document,Live,In Production,Local,05/14/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---mkt---big-deal,Reiner FRITSCH,Reiner FRITSCH
BENELUX,IT,BNL - CX CID - ZM003068 Direct Delivery Follow-Up,,"€3,750.00",120 Hours Per Year,€0.00,document,Live,In Production,Local,05/13/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---cx-cid---zm003068-direct-delivery-follow-up,Wouter Herrrygers,Wouter Herrrygers
SWITZERLAND,IT,CH - LOG - D&S - Supi.MiroInvoices,,"€60,000.00",1920 Hours Per Year,€0.00,,Live,In Production,,05/13/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/chlogdssupimiroinvoices,Bernd Kretzschmar,Bernd Kretzschmar
SWITZERLAND,IT,CH - LOG.Delivery.KUONI.TransferDailyDeliveryData,,"€7,500.00",240 Hours Per Year,€0.00,,Live,In Production,,05/13/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/kuoni-dailydeliveries,Bernd Kretzschmar,Bernd Kretzschmar
GERMANY,"Customer Experience,Marketing",GER - LOG - SAP Delivery Notes,,€750.00,24 Hours Per Year,€0.00,document,Live,In Production,"Local, and maybe Group",05/05/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---log---sap-delivery-notes,Reiner FRITSCH,Reiner FRITSCH
SWEDEN,Customer Unique Specialist,SWE - FD - Customer Limits based on UC evaluation,,"€9,000.00",288 Hours Per Year,€0.00,Full_Meeting_Summary_Credit_Limit_Automation_EN.docx,Assessment,Awaiting Review,Local,05/05/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---fd---customer-limits-based-on-uc-evaluation,SVÄRD Peter,SVÄRD Peter
BENELUX,IT,BNL - LOG - Daily Extract SPE to Order PBI,,"€2,250.00",72 Hours Per Year,€0.00,document,Live,In Production,Local,04/28/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl-log-daily-extract-spe-to-order-pbi,Wouter Herrrygers,Wouter Herrrygers
GERMANY,"Customer Experience,Marketing",GER - MKT/P&S - SAP Article list  ,,"€1,500.00",48 Hours Per Year,€0.00,document,Live,In Production,Local,04/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---sal---sap-article-list--,Reiner FRITSCH,Reiner FRITSCH
GROUP,GIS Innovation,TH - CS - Order reject in RIO - Management of EDI orders rejection in SAP,,"€1,500.00",48 Hours Per Year,€0.00,document,Testing,In Progress,Group,04/23/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---cs---order-reject-in-rio---management-of-edi-orders-rejection-in-sap,Bruno Bastin,"Bruno Bastin, Quentin Chastin"
SWEDEN,Customer Unique Specialist,SWE - CS - Customer Initiated Return Improvment,,,,,,Qualification,Awaiting Review,,04/23/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---customer-initiated-return-improvment,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
DENMARK,Finance,Further development of an existing RPA solution,,"€2,250.00",72 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",04/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/further-development-of-an-existing-rpa-solution,Eva NEUHAUSEN,Eva NEUHAUSEN
DENMARK,Finance,SVR - automatic information for accruals ,,"€3,000.00",96 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",04/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/svr---automatic-information-for-accruals-,Eva NEUHAUSEN,Eva NEUHAUSEN
DENMARK,Finance,CFAC clearing of open items - booking,,€750.00,24 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",04/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cfacbogfring,Eva NEUHAUSEN,Eva NEUHAUSEN
WISE,WYZE,WISE - Data - Back Order Report Extract,,"€50,250.00",1608 Hours Per Year,€0.00,document,Live,In Production,Local,04/14/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/wise---data---back-order-report-extract,John Davies,John Davies
SWEDEN,Customer Unique Specialist,SWE - SA - ZW55 mass run from SAP to NetShop (One-shot) ,,€0.00,0 Hours Per Year,"€2,000.00",document,Qualification,Awaiting Review,Local,04/09/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sa---zw55-mass-run-from-sap-to-netshop--one-shot--,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - Automatic Email to Supplier Regarding Delayed Dropshipping Item Lead Time,,€0.00,0 Hours Per Year,€0.00,document,Qualification,Approved,Local,04/09/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---automatic-email-to-supplier-regarding-delayed-dropshipping-item-lead-time,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
WISE,WYZE,WISE - IS - EUP to 1 Password,,€0.00,0 Hours Per Year,€0.00,document,Live,In Production,Local,04/07/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/wise---is---eup-to-1-password,John Davies,John Davies
BENELUX,IT,BNL - CS - Contract Data Split,,"€6,000.00",192 Hours Per Year,€0.00,document,Live,In Production,Local,04/01/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl-cs-contract-data-split,Wouter Herrrygers,Wouter Herrrygers
CASH,IS,CASH - HR - New Employee Data Transformation for Payroll,,€187.50,6 Hours Per Year,€0.00,document,Development,Cancelled,Local,03/27/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---hr---new-employee-data-transformation-for-payroll,Eduard SEKERES,Eduard SEKERES
GERMANY,"Customer Experience,Marketing",GER - LOG - Warehouse KPI 2 ,,"€1,125.00",36 Hours Per Year,€0.00,Description of RPA process Warehouse KPI.docx,Live,In Production,Local,03/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---log---warehouse-kpi-2-,Reiner FRITSCH,Reiner FRITSCH
GERMANY,"Customer Experience,Marketing",GER - LOG - Warehouse KPI,,"€1,125.00",36 Hours Per Year,€0.00,Description of RPA process Warehouse KPI.docx,Live,In Production,"Local, and maybe Group",03/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---log---warehouse-kpi,Reiner FRITSCH,Reiner FRITSCH
DENMARK,Sales,DEN-SAL-Verification of caller list,,€750.00,24 Hours Per Year,€0.00,Gensys,Assessment,Not Started,"Local, and maybe Group",03/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-verification-of-caller-list,Nadia BLUME,"Nadia BLUME, Emil Thrane DAGELYKKE, Lars Christensen"
GERMANY,"Customer Experience,Sales",GER - SAL - Requesting SD-Statistics,,"€15,000.00",480 Hours Per Year,€0.00,Prozessdokumentation_SD-Statistiken abrufen.docx,Assessment,In Progress,Group,03/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/requesting-sd-statistics,Abdelaziz TEKAYA,Abdelaziz TEKAYA
DENMARK,MARKETING,DEN-SAL-DCT Pricing,,€750.00,24 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",03/24/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-dct-pricing,Lars Christensen,"Lars Christensen, Nadja CHRISTENSEN, Jimmi PETERSEN"
DENMARK,MARKETING,DEN-LOG-Change currier in Denmark,,"€45,000.00",1440 Hours Per Year,€0.00,fluxDHL 1 -en.docx,Testing,In Progress,"Local, and maybe Group",03/07/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-log-change-currier-in-denmark,Lars Christensen,"Lars Christensen, Linda Molnit SCHYTH, Emil Thrane DAGELYKKE, Kim Jagd FREDERIKSEN"
SWITZERLAND,"Customer Service,Sales",CH - MKT - WebshopBanner,,,,,document,Idea,Awaiting Review,"Local, and maybe Group",03/05/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ch-mkt-webshopbanner,Francesco SONETTO,Francesco SONETTO
