Country,Departments,Subject Name Automation hub,Purpose,Benefit per company (€/per year),Benefit per company (hours saved/year),Oneshot Benefit,Automation Hub Documentation,PHASE,Status,Is it a local process or could it be deployed to all subs ?,Date submitted,Link Automation Hub,Submitter,Collaborator
FRANCE,Marketing,FR - MKT - Loading Reach SVHC declaration into STEP,Automated loading of Reach SVHC declaration into the Lyreco corporate tool.,,,,document,Idea,Awaiting Review,"Local, and maybe Group",06/27/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---mkt---loading-reach-svhc-declaration-into-step,Valentin GUERIN,Valentin GUERIN
WISE,WYZE,WISE - LOG - Stock Movement Data,"Looking at getting the report data imported into QUBE for their stock calculations for the productivity dashboards for Logistics.

Normally they do the report once a week but getting to do this daily this will provide up to date information.

",€0.00,0 Hours Per Year,€0.00,document,Assessment,Not Started,Local,06/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/wise---log---stock-movement-data,John Davies,John Davies
GERMANY,"Customer Experience,Marketing",GER - LOG - MD04 Article texts, The Demand Planning department uses the MD04 article texts from SAP as the data basis for several Power BI reports. This process exports the MD04 article texts from SAP and stores the data on a common shared drive automatically.,"€1,500.00",48 Hours Per Year,€0.00,document,Assessment,In Progress,Local,06/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---log---md04-article-texts,Reiner FRITSCH,Reiner FRITSCH
WISE,Finance,WISE - FIN - Purchasing card,"The purpose of the automation is to cover:
The generation of payment request files in format CSV from SAP 
Uploading the payment request CSV files into the portal of the PSP (ITS)
Download the payment batch processing report files from the portal of the PSP and import into SAP","€150,000.00",4800 Hours Per Year,€0.00,document,Assessment,Not Started,Group,06/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/purchasing-card,Guelahourou Joel SOSSIE,Guelahourou Joel SOSSIE
SWEDEN,Customer Unique Specialist,SWE - SC - Automation of Logistics and KPI Reports (BO),"📌 Idea Summary:
Several Business Objects (BO) reports are currently being accessed and managed manually across different systems and interfaces, some via email and others via local BO platforms. The manual handling of large reports—such as downloading, storing, and distributing them—takes time and increases the risk of inconsistency or delays.
This idea proposes building an automation that regularly extracts specified BO reports, stores them in a central location (e.g. SharePoint or network folder), and optionally triggers post-processing like Excel cleanup or Power BI data updates.
🧩 Key Reports Involved:
Outbound Excel.rep
Goods Inn lines Received without returns Excel.rep
Putaways Goods Inn and Replenishment Excel.rep
Vendorpack Excel.rep
Sorting and Expedition Excel.rep
Weight and Volume Deliveries Excel.rep
⚙️ Automation Opportunity:
A UiPath robot can:
Log in to the BO environment or retrieve files from a defined local system
Download and store the reports in a structured location
Optionally filter or clean the content (e.g. remove unused rows or columns)
Update target systems such as Power BI datasets or shared folders
Run on a schedule (e.g. daily or weekly)
🎯 Expected Benefits:
Reduced manual effort in accessing and handling BO reports
Centralized and standardized storage of large reports
Improved report delivery reliability
Increased availability of up-to-date data for analysis/KPIs
Potential for scaling to include more departments and report types",,,,document,Idea,Awaiting Review,Local,06/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sc---automation-of-logistics-and-kpi-reports--bo-,SVÄRD Peter,SVÄRD Peter
SWEDEN,Customer Unique Specialist,SWE - SA - Coor delivery precision,"We aim to improve delivery accuracy for Coor by combining data from SAP, PostNord, and DHL. The process involves extracting delivery-related data, aligning it with internal order information, and calculating deviations from the planned delivery date.
The goal is to automate data collection and make it accessible for Power BI dashboards through scheduled data refreshes (e.g. weekly).",,,,document,Idea,Awaiting Review,Local,06/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sa---coor-delivery-precision,SVÄRD Peter,SVÄRD Peter
GERMANY,"Customer Experience,Sales",GER- SAL-CMC_Upload_Contract Tool,"Individual customer prices are maintained in the system, either through a complete new upload or through individual changes within the existing assortment (e.g., new product entries, price adjustments, etc.).","€9,375.00",300 Hours Per Year,€0.00,"CMCUpload-Contract tool_Doku_Ger.docx,CMCUpload-Contract_Tool_Eng.docx",Assessment,In Progress,"Local, and maybe Group",06/13/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger--sal-cmc-upload-contract-tool,Abdelaziz TEKAYA,Abdelaziz TEKAYA
DENMARK,Marketing,DEN-MKT-VISTEX REDO,HEJ HEJ HEJ,"€8,437.50",270 Hours Per Year,€0.00,document,Assessment,Not Started,Local,05/22/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-mkt-vistex-redo,Tina Skroeder OLSEN,Tina Skroeder OLSEN
CASH,IS,CASH - SAL - Automation of Static Catalogs,"This robot will, on a monthly basis, download updated extracts from SAP (Tariff extraction) and with the help of eCat Tool, create static catalogues for the customers. Sales representatives can than easily update the catalogues and prices, which will increase profit and it saves time for EBiz team as well.",€0.00,0 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---sal---automation-of-static-catalogs,Eduard SEKERES,Eduard SEKERES
SWEDEN,Customer Unique Specialist,SWE - FD - Customer Limits based on UC evaluation,"All new customers are automatically assigned a credit limit of 1,500 SEK in the SAP. If their first order exceeds 1,500 SEK, the customer is added to a blocked list for manual handling. A daily manual job is run to retrieve new customers and update their credit limit based on the UC (credit check) evaluation.","€9,000.00",288 Hours Per Year,€0.00,Full_Meeting_Summary_Credit_Limit_Automation_EN.docx,Assessment,Awaiting Review,Local,05/05/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---fd---customer-limits-based-on-uc-evaluation,SVÄRD Peter,SVÄRD Peter
SWEDEN,Customer Unique Specialist,SWE - CS - Customer Initiated Return Improvment,"Potential opportunity to enhance PostNord bot
Part 1: Today, the bot requires all tracking numbers to be manually entered into the RPA app, which likely results in missed returns.
Part 2: Currently, a return is processed per tracking number, but the Returns Department requests a return per order. Is it possible to obtain data/query that can provide this information to the RPA bot?",,,,,Qualification,Awaiting Review,,04/23/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---customer-initiated-return-improvment,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
DENMARK,Finance,Further development of an existing RPA solution,"Further development of an existing RPA solution -  DEN-FIN-Incoming invoices (creditors)
Immediate clearing when booking

","€2,250.00",72 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",04/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/further-development-of-an-existing-rpa-solution,Eva NEUHAUSEN,Eva NEUHAUSEN
DENMARK,Finance,SVR - automatic information for accruals ,Monthly upload with necessary information (creditor number and name) and uploaded to excel file,"€3,000.00",96 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",04/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/svr---automatic-information-for-accruals-,Eva NEUHAUSEN,Eva NEUHAUSEN
DENMARK,Finance,CFAC clearing of open items - booking,Automatic posting of amounts below a fixed amount,€750.00,24 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",04/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cfacbogfring,Eva NEUHAUSEN,Eva NEUHAUSEN
SWEDEN,Customer Unique Specialist,SWE - SA - ZW55 mass run from SAP to NetShop (One-shot) ,"a{text-decoration:none;color:#464feb}
Here is the translation:
Background:Transaction ZW55 in SAP is used to transfer updates from customer cards and chain structures in SAP to NetShop. Since February 12, 2025, this transfer occurs automatically every 30 minutes, based on change pointers on the customer card. The information is sent as an IDoc and automatically read into NetShop via a cus-file. (Exact time when Admin clears its log is unknown)
Before the automatic run was introduced, transaction ZW55 had to be run manually to send changes. This means that there are historical changes today that have not yet been transferred to NetShop.
Purpose:We now need to manually trigger the transfer of our entire customer register – including customer numbers and invoice recipients – to ensure that NetShop has the latest information.
Challenge:It is not possible to trigger the entire register in one run because NetShop has a limitation on how many customer numbers can be handled per read-in. Historically, we have not run more than 1,000 customer numbers at a time to avoid the cus-file becoming too large and difficult to read into Admin.
Number to be mass-run:Customer numbers: approx. 240k Invoice recipients: approx. 100k
Planned working method (robot):
Start from a total file in Excel with customer numbers in one column.
Divide the list into blocks of approximately 1,000 customer numbers at a time.
Enter SAP transaction ZW55, input the customer numbers, and save.
After about 15 minutes, go into Admin and manually read in the generated cus-file.
Repeat the process every 15–30 minutes until the entire register is updated.
Is there anything else you need help with?",€0.00,0 Hours Per Year,"€2,000.00",document,Qualification,Awaiting Review,Local,04/09/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sa---zw55-mass-run-from-sap-to-netshop--one-shot--,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - Automatic Email to Supplier Regarding Delayed Dropshipping Item Lead Time,"For open dropshipment orders where the supplier's lead time, which we also display to the customer on NetShop, has passed and the order is still open, we create an automated email that asks for the status of the order. The responses that come back are handled by a human.
The bot also leaves a comment in SAP and the field that comes with open orders to facilitate further handling.
This will save time in OPS as it takes quite a few clicks to send these emails, allowing us to focus our time on actions or informing the customer.
This will ensure that we close orders and invoice, or keep the customer updated on the status, which improves the customer experience.",€0.00,0 Hours Per Year,€0.00,document,Qualification,Approved,Local,04/09/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---automatic-email-to-supplier-regarding-delayed-dropshipping-item-lead-time,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
DENMARK,Sales,DEN-SAL-Verification of caller list,Idea has been pitched to our local RPA team and they know about the workload. ,€750.00,24 Hours Per Year,€0.00,Gensys,Assessment,Not Started,"Local, and maybe Group",03/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-verification-of-caller-list,Nadia BLUME,"Nadia BLUME, Emil Thrane DAGELYKKE, Lars Christensen"
