Country,Departments,Subject Name Automation hub,Purpose,Benefit per company (€/per year),Benefit per company (hours saved/year),Oneshot Benefit,Automation Hub Documentation,PHASE,Status,Is it a local process or could it be deployed to all subs ?,Date submitted,Link Automation Hub,Submitter,Collaborator
FRANCE,Marketing,FR - MKT - Loading Reach SVHC declaration into STEP,Automated loading of Reach SVHC declaration into the Lyreco corporate tool.,,,,document,Idea,Awaiting Review,"Local, and maybe Group",06/27/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---mkt---loading-reach-svhc-declaration-into-step,Valentin GUERIN,Valentin GUERIN
WISE,WYZE,WISE - LOG - Stock Movement Data,"Looking at getting the report data imported into QUBE for their stock calculations for the productivity dashboards for Logistics.

Normally they do the report once a week but getting to do this daily this will provide up to date information.

",€0.00,0 Hours Per Year,€0.00,document,Assessment,Not Started,Local,06/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/wise---log---stock-movement-data,John Davies,John Davies
GERMANY,"Customer Experience,Marketing",GER - LOG - MD04 Article texts, The Demand Planning department uses the MD04 article texts from SAP as the data basis for several Power BI reports. This process exports the MD04 article texts from SAP and stores the data on a common shared drive automatically.,"€1,500.00",48 Hours Per Year,€0.00,document,Assessment,In Progress,Local,06/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger---log---md04-article-texts,Reiner FRITSCH,Reiner FRITSCH
WISE,Finance,WISE - FIN - Purchasing card,"The purpose of the automation is to cover:
The generation of payment request files in format CSV from SAP 
Uploading the payment request CSV files into the portal of the PSP (ITS)
Download the payment batch processing report files from the portal of the PSP and import into SAP","€150,000.00",4800 Hours Per Year,€0.00,document,Assessment,Not Started,Group,06/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/purchasing-card,Guelahourou Joel SOSSIE,Guelahourou Joel SOSSIE
SWEDEN,Customer Unique Specialist,SWE - SC - Automation of Logistics and KPI Reports (BO),"📌 Idea Summary:
Several Business Objects (BO) reports are currently being accessed and managed manually across different systems and interfaces, some via email and others via local BO platforms. The manual handling of large reports—such as downloading, storing, and distributing them—takes time and increases the risk of inconsistency or delays.
This idea proposes building an automation that regularly extracts specified BO reports, stores them in a central location (e.g. SharePoint or network folder), and optionally triggers post-processing like Excel cleanup or Power BI data updates.
🧩 Key Reports Involved:
Outbound Excel.rep
Goods Inn lines Received without returns Excel.rep
Putaways Goods Inn and Replenishment Excel.rep
Vendorpack Excel.rep
Sorting and Expedition Excel.rep
Weight and Volume Deliveries Excel.rep
⚙️ Automation Opportunity:
A UiPath robot can:
Log in to the BO environment or retrieve files from a defined local system
Download and store the reports in a structured location
Optionally filter or clean the content (e.g. remove unused rows or columns)
Update target systems such as Power BI datasets or shared folders
Run on a schedule (e.g. daily or weekly)
🎯 Expected Benefits:
Reduced manual effort in accessing and handling BO reports
Centralized and standardized storage of large reports
Improved report delivery reliability
Increased availability of up-to-date data for analysis/KPIs
Potential for scaling to include more departments and report types",,,,document,Idea,Awaiting Review,Local,06/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sc---automation-of-logistics-and-kpi-reports--bo-,SVÄRD Peter,SVÄRD Peter
SWEDEN,Customer Unique Specialist,SWE - SA - Coor delivery precision,"We aim to improve delivery accuracy for Coor by combining data from SAP, PostNord, and DHL. The process involves extracting delivery-related data, aligning it with internal order information, and calculating deviations from the planned delivery date.
The goal is to automate data collection and make it accessible for Power BI dashboards through scheduled data refreshes (e.g. weekly).",,,,document,Idea,Awaiting Review,Local,06/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sa---coor-delivery-precision,SVÄRD Peter,SVÄRD Peter
GERMANY,"Customer Experience,Sales",GER- SAL-CMC_Upload_Contract Tool,"Individual customer prices are maintained in the system, either through a complete new upload or through individual changes within the existing assortment (e.g., new product entries, price adjustments, etc.).","€9,375.00",300 Hours Per Year,€0.00,"CMCUpload-Contract tool_Doku_Ger.docx,CMCUpload-Contract_Tool_Eng.docx",Assessment,In Progress,"Local, and maybe Group",06/13/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ger--sal-cmc-upload-contract-tool,Abdelaziz TEKAYA,Abdelaziz TEKAYA
SWITZERLAND,IT,CH - BS - WAPL - Restructuring Maintenance Dates Maintenance Contract Nespresso Business - OneShot,,€0.00,0 Hours Per Year,"€2,500.00",,Live,Archived,,05/22/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ch---bs---wapl---restructuring-maintenance-dates-maintenance-contract-nespresso-business---oneshot,Bernd Kretzschmar,Bernd Kretzschmar
SWITZERLAND,IT,CH - LOG - Paletti - Extract Delivery Information from SAP,,"€30,000.00",960 Hours Per Year,€0.00,,Live,In Production,,05/22/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ch---log---paletti---extract-delivery-information-from-sap,Bernd Kretzschmar,Bernd Kretzschmar
SWITZERLAND,IT,CH - BS - WAPL - Generation of Service Orders ,,"€15,000.00",480 Hours Per Year,€0.00,,Live,In Production,,05/22/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ch---bs---wapl---generation-of-service-orders-,Bernd Kretzschmar,Bernd Kretzschmar
DENMARK,Marketing,DEN-MKT-VISTEX REDO,HEJ HEJ HEJ,"€8,437.50",270 Hours Per Year,€0.00,document,Assessment,Not Started,Local,05/22/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-mkt-vistex-redo,Tina Skroeder OLSEN,Tina Skroeder OLSEN
BENELUX,IT,BNL - CX DE - GetSiteControl Personalized Popups,"BNL Local process that will be used to periodically set up personalized customer pop-ups on our web shop using the intermediary platform 'GetSiteControl'.

Request from the local Campaign & Digital Engagement manager.

The local Digital Engagement team wants to leverage personalized pop ups on our web shop to increase the click through rate and generate additional turnover. A major downside to the 'as is' situation is that their intermediary platform in which these pop ups are configured (GetSiteControl) does not allow for mass uploads of customer numbers. Pop-ups need to be configured on a 'per customer' basis, which takes an exceeding amount of time if you would need to configure batches of 15.000 customers or more.
Based on the benefit/impact of automating this repetitive process, a request was made to create a workflow that executes these tasks.

The UiPath workflow will fetch the input data, a list of customer numbers, navigate to the GetSiteControl platform and iterate through the required steps per unique customer in order to configure these pop ups. The workflow will process all customers and files present in the input folder and save the configuration afterwards.
At the end of the runtime, the script will share the runtime statistics with the relevant process owners.

The script will be triggered on a daily basis.","€60,000.00",1920 Hours Per Year,€0.00,document,Live,In Production,Local,05/16/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---cx-de---getsitecontrol-personalized-popups,Wouter Herrrygers,Wouter Herrrygers
BENELUX,IT,BNL - SAL/LOG/MKT - Send SPE to Order Requests & Process Feedback,"Joint request from the BNL local Demand & Supply & Marketing departments.

The purpose of these workflows is to simplify the 'SPE to Order' process. The local Marketing non-catalogue team (Products & Services) & the local non-catalogue demand planner (Demand & Supply) collaborate in a 'SPE to Order' work file in which all new replenishment requests for customer specific articles get logged and tracked. 

In the 'as is' situation, each of these requests need to get sent manually to the responsible commercial colleagues, which amounts to hundreds of e-mails that need to be sent on a monthly basis, which in its turn generates additional traffic, overhead and time spent on back and forth over something that should be a simple request.

In order to automate, simplify and standardize this process three separate workflows have been developed.
The BNL LOG/MKT Extract SPE to Order PBI workflow that was developed previously will serve as the source data for these two other scripts.

The second UiPath workflow (BNL LOG Send SPE to Order Requests to SAL) is a script that will be launched on a bi-weekly basis, every Tuesday and Thursday at 3:00 AM CET. 
This script is used to automatically send the customer specific replenishment requests to the responsible commercial colleagues. The work file tracks which requests have been sent to which account managers on which date. Every new row in the file without sales feedback results in a new request getting sent to the responsible AM, containing their unique request ID. If a previously processed row has not received any feedback after two weeks, the responsible AM will receive a reminder.

The third workflow (BNL SAL Process SPE to Order Feedback) is reactive in nature and will be launched every time the designated 'SPE To Order' MS Form gets completed by a sales colleague. This will trigger a PA Cloud workflow which in its turn will launch a UiPath workflow using an API trigger. This workflow will connect to the Excel Online version of the work file and process the sales feedback and any other additional comments in the row that contains the unique request ID. If by accident a Form was filled in that does not correspond to any row in the work file, the responder will receive an alert prompting them to verify and try again.","€33,750.00",1080 Hours Per Year,€0.00,document,Live,In Production,Local,05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnlsallogmktsendspetoorderrequestsprocessfeedback,Wouter Herrrygers,Wouter Herrrygers
CASH,IS,CASH - SAL - Automation of Static Catalogs,"This robot will, on a monthly basis, download updated extracts from SAP (Tariff extraction) and with the help of eCat Tool, create static catalogues for the customers. Sales representatives can than easily update the catalogues and prices, which will increase profit and it saves time for EBiz team as well.",€0.00,0 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---sal---automation-of-static-catalogs,Eduard SEKERES,Eduard SEKERES
CASH,IS,CASH - CS - Strabag POD sending,"This robot will gather all delivery notes of the past month from customer STRABAG, download the proof of delivery from SITI application and send it to respective requisitioners
(2513)",€0.00,0 Hours Per Year,€0.00,document,Development,In Progress,Local,05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---cs---strabag-pod-sending,Eduard SEKERES,Eduard SEKERES
CASH,IS,CASH - SAL - Price change/delist report for Sales,"If the price of a product changed in the last month, the sales representative should be aware of it. This automation takes an Excel report of price changes and highlights the customer core lists, minicatalogs and static catalogs that are impacted by this change. Sales representative is therefore aware and could take action.
(2511)",€0.00,0 Hours Per Year,€0.00,document,Development,In Progress,"Local, and maybe Group",05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---sal---price-changedelist-report-for-sales,Eduard SEKERES,Eduard SEKERES
CASH,IS,CASH - CS- BackOrder Analysis: Streamlining BO Cleaning Process ,"Cleaning up of back order  data, report creation and communication of findings to customers
(2503)",€0.00,0 Hours Per Year,€0.00,document,Testing,In Progress,Local,05/15/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---cs--backorder-analysis-streamlining-bo-cleaning-process-,Eduard SEKERES,Eduard SEKERES
